movies,categories,run_time,total_comb,tested_comb
30,6,"[30, 30]","[1073741824, 1073741824]","[127375385, 127375385]"
46,9,"[30, 30]","[70368744177664, 70368744177664]","[106759895, 106759895]"
48,6,"[30, 30]","[281474976710656, 281474976710656]","[159932483, 159932483]"
27,8,"[30, 30]","[134217728, 134217728]","[121548577, 121548577]"
34,2,"[30, 30]","[17179869184, 17179869184]","[193998943, 193998943]"
29,7,"[30, 30]","[536870912, 536870912]","[110458383, 110458383]"
29,6,"[30, 30]","[536870912, 536870912]","[123594214, 123594214]"
34,3,"[30, 30]","[17179869184, 17179869184]","[131906170, 131906170]"
27,9,"[30, 30]","[134217728, 134217728]","[107886727, 107886727]"
48,7,"[30, 30]","[281474976710656, 281474976710656]","[148661019, 148661019]"
36,1,"[30, 30]","[68719476736, 68719476736]","[191121042, 191121042]"
46,8,"[30, 30]","[70368744177664, 70368744177664]","[106523880, 106523880]"
30,7,"[30, 30]","[1073741824, 1073741824]","[146873238, 146873238]"
32,5,"[30, 30]","[4294967296, 4294967296]","[116252069, 116252069]"
32,7,"[30, 30]","[4294967296, 4294967296]","[142266964, 142266964]"
30,5,"[30, 30]","[1073741824, 1073741824]","[121566502, 121566502]"
36,3,"[30, 30]","[68719476736, 68719476736]","[187437445, 187437445]"
25,9,"[30, 30]","[33554432, 33554432]","[33554432, 33554432]"
48,5,"[30, 30]","[281474976710656, 281474976710656]","[150975367, 150975367]"
34,1,"[30, 30]","[17179869184, 17179869184]","[162629573, 162629573]"
44,8,"[30, 30]","[17592186044416, 17592186044416]","[105009223, 105009223]"
29,4,"[30, 30]","[536870912, 536870912]","[162063635, 162063635]"
47,10,"[30, 30]","[140737488355328, 140737488355328]","[95522716, 95522716]"
29,5,"[30, 30]","[536870912, 536870912]","[153008625, 153008625]"
44,9,"[30, 30]","[17592186044416, 17592186044416]","[103625578, 103625578]"
48,4,"[30, 30]","[281474976710656, 281474976710656]","[185916098, 185916098]"
25,8,"[30, 30]","[33554432, 33554432]","[33554432, 33554432]"
36,2,"[30, 30]","[68719476736, 68719476736]","[155882645, 155882645]"
24,10,"[30, 30]","[16777216, 16777216]","[16777216, 16777216]"
30,4,"[30, 30]","[1073741824, 1073741824]","[161897278, 161897278]"
28,10,"[30, 30]","[268435456, 268435456]","[120340988, 120340988]"
32,6,"[30, 30]","[4294967296, 4294967296]","[138082642, 138082642]"
36,10,"[30, 30]","[68719476736, 68719476736]","[125173407, 125173407]"
21,8,"[30, 30]","[2097152, 2097152]","[2097152, 2097152]"
32,2,"[30, 30]","[4294967296, 4294967296]","[140826580, 140826580]"
40,9,"[30, 30]","[1099511627776, 1099511627776]","[113356108, 113356108]"
36,6,"[30, 30]","[68719476736, 68719476736]","[107678812, 107678812]"
38,9,"[30, 30]","[274877906944, 274877906944]","[107550121, 107550121]"
34,4,"[30, 30]","[17179869184, 17179869184]","[129829447, 129829447]"
29,1,"[30, 30]","[536870912, 536870912]","[166143686, 166143686]"
49,10,"[30, 30]","[562949953421312, 562949953421312]","[115182937, 115182937]"
34,10,"[30, 30]","[17179869184, 17179869184]","[104937477, 104937477]"
34,5,"[30, 30]","[17179869184, 17179869184]","[213106109, 213106109]"
48,1,"[30, 30]","[281474976710656, 281474976710656]","[126674569, 126674569]"
38,8,"[30, 30]","[274877906944, 274877906944]","[121654150, 121654150]"
36,7,"[30, 30]","[68719476736, 68719476736]","[124789963, 124789963]"
26,10,"[30, 30]","[67108864, 67108864]","[67108864, 67108864]"
30,1,"[30, 30]","[1073741824, 1073741824]","[202023340, 202023340]"
40,8,"[30, 30]","[1099511627776, 1099511627776]","[132100888, 132100888]"
45,10,"[30, 30]","[35184372088832, 35184372088832]","[123491338, 123491338]"
38,10,"[30, 30]","[274877906944, 274877906944]","[120297416, 120297416]"
32,3,"[30, 30]","[4294967296, 4294967296]","[239977384, 239977384]"
21,9,"[30, 30]","[2097152, 2097152]","[2097152, 2097152]"
32,1,"[30, 30]","[4294967296, 4294967296]","[192146988, 192146988]"
42,8,"[30, 30]","[4398046511104, 4398046511104]","[136066589, 136066589]"
30,3,"[30, 30]","[1073741824, 1073741824]","[161092172, 161092172]"
23,9,"[30, 30]","[8388608, 8388608]","[8388608, 8388608]"
36,5,"[30, 30]","[68719476736, 68719476736]","[124283918, 124283918]"
48,3,"[30, 30]","[281474976710656, 281474976710656]","[153009869, 153009869]"
34,7,"[30, 30]","[17179869184, 17179869184]","[137453548, 137453548]"
29,2,"[30, 30]","[536870912, 536870912]","[191954965, 191954965]"
29,3,"[30, 30]","[536870912, 536870912]","[152922775, 152922775]"
34,6,"[30, 30]","[17179869184, 17179869184]","[155893163, 155893163]"
48,2,"[30, 30]","[281474976710656, 281474976710656]","[213483217, 213483217]"
36,4,"[30, 30]","[68719476736, 68719476736]","[150135466, 150135466]"
23,8,"[30, 30]","[8388608, 8388608]","[8388608, 8388608]"
30,2,"[30, 30]","[1073741824, 1073741824]","[221367146, 221367146]"
42,9,"[30, 30]","[4398046511104, 4398046511104]","[114110471, 114110471]"
21,7,"[30, 30]","[2097152, 2097152]","[2097152, 2097152]"
42,4,"[30, 30]","[4398046511104, 4398046511104]","[133468955, 133468955]"
23,5,"[30, 30]","[8388608, 8388608]","[8388608, 8388608]"
40,6,"[30, 30]","[1099511627776, 1099511627776]","[128018570, 128018570]"
36,9,"[30, 30]","[68719476736, 68719476736]","[145958890, 145958890]"
25,3,"[30, 30]","[33554432, 33554432]","[33554432, 33554432]"
38,6,"[30, 30]","[274877906944, 274877906944]","[136989378, 136989378]"
44,2,"[30, 30]","[17592186044416, 17592186044416]","[225633478, 225633478]"
27,1,"[30, 30]","[134217728, 134217728]","[134217728, 134217728]"
44,3,"[30, 30]","[17592186044416, 17592186044416]","[159398660, 159398660]"
38,7,"[30, 30]","[274877906944, 274877906944]","[136839955, 136839955]"
25,2,"[30, 30]","[33554432, 33554432]","[33554432, 33554432]"
46,1,"[30, 30]","[70368744177664, 70368744177664]","[344972509, 344972509]"
36,8,"[30, 30]","[68719476736, 68719476736]","[141461734, 141461734]"
40,7,"[30, 30]","[1099511627776, 1099511627776]","[122533899, 122533899]"
23,4,"[30, 30]","[8388608, 8388608]","[8388608, 8388608]"
42,5,"[30, 30]","[4398046511104, 4398046511104]","[139846902, 139846902]"
21,6,"[30, 30]","[2097152, 2097152]","[2097152, 2097152]"
42,7,"[30, 30]","[4398046511104, 4398046511104]","[142017406, 142017406]"
21,4,"[30, 30]","[2097152, 2097152]","[2097152, 2097152]"
40,5,"[30, 30]","[1099511627776, 1099511627776]","[114922300, 114922300]"
23,6,"[30, 30]","[8388608, 8388608]","[8388608, 8388608]"
46,3,"[30, 30]","[70368744177664, 70368744177664]","[169204869, 169204869]"
38,5,"[30, 30]","[274877906944, 274877906944]","[103582383, 103582383]"
27,2,"[30, 30]","[134217728, 134217728]","[134217728, 134217728]"
44,1,"[30, 30]","[17592186044416, 17592186044416]","[241348483, 241348483]"
34,8,"[30, 30]","[17179869184, 17179869184]","[109340888, 109340888]"
40,10,"[30, 30]","[1099511627776, 1099511627776]","[116111116, 116111116]"
34,9,"[30, 30]","[17179869184, 17179869184]","[120178961, 120178961]"
27,3,"[30, 30]","[134217728, 134217728]","[134217728, 134217728]"
38,4,"[30, 30]","[274877906944, 274877906944]","[236428770, 236428770]"
23,10,"[30, 30]","[8388608, 8388608]","[8388608, 8388608]"
46,2,"[30, 30]","[70368744177664, 70368744177664]","[168960086, 168960086]"
25,1,"[30, 30]","[33554432, 33554432]","[33554432, 33554432]"
23,7,"[30, 30]","[8388608, 8388608]","[8388608, 8388608]"
40,4,"[30, 30]","[1099511627776, 1099511627776]","[119111908, 119111908]"
31,10,"[30, 30]","[2147483648, 2147483648]","[111123516, 111123516]"
21,5,"[30, 30]","[2097152, 2097152]","[2097152, 2097152]"
42,6,"[30, 30]","[4398046511104, 4398046511104]","[132290577, 132290577]"
42,2,"[30, 30]","[4398046511104, 4398046511104]","[232184388, 232184388]"
21,1,"[30, 30]","[2097152, 2097152]","[2097152, 2097152]"
30,9,"[30, 30]","[1073741824, 1073741824]","[124908802, 124908802]"
23,3,"[30, 30]","[8388608, 8388608]","[8388608, 8388608]"
25,5,"[30, 30]","[33554432, 33554432]","[33554432, 33554432]"
46,6,"[30, 30]","[70368744177664, 70368744177664]","[133326461, 133326461]"
48,9,"[30, 30]","[281474976710656, 281474976710656]","[127842746, 127842746]"
27,7,"[30, 30]","[134217728, 134217728]","[121871460, 121871460]"
44,4,"[30, 30]","[17592186044416, 17592186044416]","[109249681, 109249681]"
29,8,"[30, 30]","[536870912, 536870912]","[119016018, 119016018]"
29,9,"[30, 30]","[536870912, 536870912]","[146081026, 146081026]"
44,5,"[30, 30]","[17592186044416, 17592186044416]","[115858694, 115858694]"
27,6,"[30, 30]","[134217728, 134217728]","[134217728, 134217728]"
33,10,"[30, 30]","[8589934592, 8589934592]","[129832485, 129832485]"
50,10,"[30, 30]","[1125899906842624, 1125899906842624]","[117092214, 117092214]"
38,1,"[30, 30]","[274877906944, 274877906944]","[133062866, 133062866]"
48,8,"[30, 30]","[281474976710656, 281474976710656]","[114684303, 114684303]"
46,7,"[30, 30]","[70368744177664, 70368744177664]","[123541940, 123541940]"
25,4,"[30, 30]","[33554432, 33554432]","[33554432, 33554432]"
23,2,"[30, 30]","[8388608, 8388608]","[8388608, 8388608]"
40,1,"[30, 30]","[1099511627776, 1099511627776]","[146806156, 146806156]"
30,8,"[30, 30]","[1073741824, 1073741824]","[144933298, 144933298]"
21,10,"[30, 30]","[2097152, 2097152]","[2097152, 2097152]"
42,10,"[30, 30]","[4398046511104, 4398046511104]","[94459994, 94459994]"
42,3,"[30, 30]","[4398046511104, 4398046511104]","[174735945, 174735945]"
21,2,"[30, 30]","[2097152, 2097152]","[2097152, 2097152]"
42,1,"[30, 30]","[4398046511104, 4398046511104]","[240133217, 240133217]"
32,8,"[30, 30]","[4294967296, 4294967296]","[129263561, 129263561]"
40,3,"[30, 30]","[1099511627776, 1099511627776]","[106808294, 106808294]"
46,5,"[30, 30]","[70368744177664, 70368744177664]","[102710215, 102710215]"
25,6,"[30, 30]","[33554432, 33554432]","[33554432, 33554432]"
38,3,"[30, 30]","[274877906944, 274877906944]","[145137225, 145137225]"
44,7,"[30, 30]","[17592186044416, 17592186044416]","[116749546, 116749546]"
27,4,"[30, 30]","[134217728, 134217728]","[123855679, 123855679]"
27,5,"[30, 30]","[134217728, 134217728]","[134217728, 134217728]"
44,6,"[30, 30]","[17592186044416, 17592186044416]","[136936193, 136936193]"
38,2,"[30, 30]","[274877906944, 274877906944]","[195212050, 195212050]"
25,7,"[30, 30]","[33554432, 33554432]","[33554432, 33554432]"
46,4,"[30, 30]","[70368744177664, 70368744177664]","[141473084, 141473084]"
40,2,"[30, 30]","[1099511627776, 1099511627776]","[179037513, 179037513]"
23,1,"[30, 30]","[8388608, 8388608]","[8388608, 8388608]"
32,9,"[30, 30]","[4294967296, 4294967296]","[130075174, 130075174]"
21,3,"[30, 30]","[2097152, 2097152]","[2097152, 2097152]"
26,2,"[30, 30]","[67108864, 67108864]","[67108864, 67108864]"
35,8,"[30, 30]","[34359738368, 34359738368]","[96048904, 96048904]"
45,1,"[30, 30]","[35184372088832, 35184372088832]","[342567210, 342567210]"
25,10,"[30, 30]","[33554432, 33554432]","[33554432, 33554432]"
47,3,"[30, 30]","[140737488355328, 140737488355328]","[208259205, 208259205]"
39,5,"[30, 30]","[549755813888, 549755813888]","[154688805, 154688805]"
46,10,"[30, 30]","[70368744177664, 70368744177664]","[107734300, 107734300]"
41,5,"[30, 30]","[2199023255552, 2199023255552]","[212942421, 212942421]"
22,6,"[30, 30]","[4194304, 4194304]","[4194304, 4194304]"
37,10,"[30, 30]","[137438953472, 137438953472]","[116492306, 116492306]"
43,7,"[30, 30]","[8796093022208, 8796093022208]","[138106750, 138106750]"
29,10,"[30, 30]","[536870912, 536870912]","[117883431, 117883431]"
20,4,"[30, 30]","[1048576, 1048576]","[1048576, 1048576]"
20,5,"[30, 30]","[1048576, 1048576]","[1048576, 1048576]"
43,6,"[30, 30]","[8796093022208, 8796093022208]","[115757099, 115757099]"
22,7,"[30, 30]","[4194304, 4194304]","[4194304, 4194304]"
41,4,"[30, 30]","[2199023255552, 2199023255552]","[148955723, 148955723]"
39,4,"[30, 30]","[549755813888, 549755813888]","[119819384, 119819384]"
47,2,"[30, 30]","[140737488355328, 140737488355328]","[149756329, 149756329]"
24,1,"[30, 30]","[16777216, 16777216]","[16777216, 16777216]"
35,9,"[30, 30]","[34359738368, 34359738368]","[122875443, 122875443]"
26,3,"[30, 30]","[67108864, 67108864]","[67108864, 67108864]"
45,2,"[30, 30]","[35184372088832, 35184372088832]","[166129003, 166129003]"
26,1,"[30, 30]","[67108864, 67108864]","[67108864, 67108864]"
37,9,"[30, 30]","[137438953472, 137438953472]","[123571377, 123571377]"
24,3,"[30, 30]","[16777216, 16777216]","[16777216, 16777216]"
39,6,"[30, 30]","[549755813888, 549755813888]","[128650718, 128650718]"
22,5,"[30, 30]","[4194304, 4194304]","[4194304, 4194304]"
41,6,"[30, 30]","[2199023255552, 2199023255552]","[124782161, 124782161]"
20,7,"[30, 30]","[1048576, 1048576]","[1048576, 1048576]"
43,4,"[30, 30]","[8796093022208, 8796093022208]","[129981826, 129981826]"
43,5,"[30, 30]","[8796093022208, 8796093022208]","[140566480, 140566480]"
20,6,"[30, 30]","[1048576, 1048576]","[1048576, 1048576]"
41,7,"[30, 30]","[2199023255552, 2199023255552]","[147571274, 147571274]"
22,4,"[30, 30]","[4194304, 4194304]","[4194304, 4194304]"
39,7,"[30, 30]","[549755813888, 549755813888]","[135463976, 135463976]"
24,2,"[30, 30]","[16777216, 16777216]","[16777216, 16777216]"
37,8,"[30, 30]","[137438953472, 137438953472]","[124979304, 124979304]"
47,1,"[30, 30]","[140737488355328, 140737488355328]","[222000906, 222000906]"
45,3,"[30, 30]","[35184372088832, 35184372088832]","[198807599, 198807599]"
45,7,"[30, 30]","[35184372088832, 35184372088832]","[132532869, 132532869]"
26,4,"[30, 30]","[67108864, 67108864]","[67108864, 67108864]"
47,5,"[30, 30]","[140737488355328, 140737488355328]","[144092334, 144092334]"
24,6,"[30, 30]","[16777216, 16777216]","[16777216, 16777216]"
39,3,"[30, 30]","[549755813888, 549755813888]","[160784195, 160784195]"
41,3,"[30, 30]","[2199023255552, 2199023255552]","[179968007, 179968007]"
20,2,"[30, 30]","[1048576, 1048576]","[1048576, 1048576]"
33,8,"[30, 30]","[8589934592, 8589934592]","[103993124, 103993124]"
43,1,"[30, 30]","[8796093022208, 8796093022208]","[155518492, 155518492]"
33,9,"[30, 30]","[8589934592, 8589934592]","[127491908, 127491908]"
20,3,"[30, 30]","[1048576, 1048576]","[1048576, 1048576]"
41,2,"[30, 30]","[2199023255552, 2199023255552]","[275516033, 275516033]"
22,1,"[30, 30]","[4194304, 4194304]","[4194304, 4194304]"
39,2,"[30, 30]","[549755813888, 549755813888]","[169184837, 169184837]"
24,7,"[30, 30]","[16777216, 16777216]","[16777216, 16777216]"
47,4,"[30, 30]","[140737488355328, 140737488355328]","[156842879, 156842879]"
26,5,"[30, 30]","[67108864, 67108864]","[67108864, 67108864]"
45,6,"[30, 30]","[35184372088832, 35184372088832]","[134235385, 134235385]"
26,7,"[30, 30]","[67108864, 67108864]","[67108864, 67108864]"
45,4,"[30, 30]","[35184372088832, 35184372088832]","[137177171, 137177171]"
28,8,"[30, 30]","[268435456, 268435456]","[120573766, 120573766]"
35,10,"[30, 30]","[34359738368, 34359738368]","[122841668, 122841668]"
24,5,"[30, 30]","[16777216, 16777216]","[16777216, 16777216]"
47,6,"[30, 30]","[140737488355328, 140737488355328]","[151700284, 151700284]"
48,10,"[30, 30]","[281474976710656, 281474976710656]","[112340715, 112340715]"
49,9,"[30, 30]","[562949953421312, 562949953421312]","[131011571, 131011571]"
31,9,"[30, 30]","[2147483648, 2147483648]","[123272405, 123272405]"
39,10,"[30, 30]","[549755813888, 549755813888]","[116131531, 116131531]"
22,3,"[30, 30]","[4194304, 4194304]","[4194304, 4194304]"
44,10,"[30, 30]","[17592186044416, 17592186044416]","[95945276, 95945276]"
27,10,"[30, 30]","[134217728, 134217728]","[120768297, 120768297]"
43,2,"[30, 30]","[8796093022208, 8796093022208]","[149901855, 149901855]"
20,1,"[30, 30]","[1048576, 1048576]","[1048576, 1048576]"
50,8,"[30, 30]","[1125899906842624, 1125899906842624]","[132645593, 132645593]"
50,9,"[30, 30]","[1125899906842624, 1125899906842624]","[118998110, 118998110]"
43,3,"[30, 30]","[8796093022208, 8796093022208]","[163760853, 163760853]"
22,2,"[30, 30]","[4194304, 4194304]","[4194304, 4194304]"
31,8,"[30, 30]","[2147483648, 2147483648]","[116710941, 116710941]"
41,1,"[30, 30]","[2199023255552, 2199023255552]","[238173386, 238173386]"
49,8,"[30, 30]","[562949953421312, 562949953421312]","[113286418, 113286418]"
39,1,"[30, 30]","[549755813888, 549755813888]","[227411772, 227411772]"
47,7,"[30, 30]","[140737488355328, 140737488355328]","[118104309, 118104309]"
24,4,"[30, 30]","[16777216, 16777216]","[16777216, 16777216]"
28,9,"[30, 30]","[268435456, 268435456]","[129378952, 129378952]"
45,5,"[30, 30]","[35184372088832, 35184372088832]","[150597312, 150597312]"
26,6,"[30, 30]","[67108864, 67108864]","[67108864, 67108864]"
